ProductID,ProductName,Description,ManufacturerID,CategoryID,UnitPrice
52,Turmeric Powder,"A vibrant yellow spice with a warm, earthy flavor, perfect for enhancing curries, soups, and health tonics.",14,3,12.41
53,Avocado Oil Dressing,"A rich, buttery dressing made from pure avocado oil, perfect for enhancing salads, grain bowls, and roasted vegetables.",22,4,9.62
54,Ros? Sparkling Wine,"A light, bubbly ros? with flavors of strawberry, raspberry, and citrus, perfect for celebrations or pairing with light dishes.",24,5,158.81
55,Spanish Salchichõn Sausage,"A dry-cured sausage with a rich, savory flavor, perfect for charcuterie boards, tapas, or as a standalone snack.",28,6,31.47
56,Spanish Lomo Embuchado,"A premium cured pork loin, seasoned with paprika and garlic, offering a rich, savory flavor perfect for charcuterie boards or tapas.",28,6,13.5
57,Truffle Infused Aioli,"A luxurious blend of creamy aioli and black truffle, offering an earthy, umami flavor that elevates sandwiches, fries, and dips.",35,7,68.5
58,Organic Ginger Turmeric Tea,"A soothing blend of organic ginger and turmeric, offering a spicy, warming flavor that aids digestion and boosts immunity.",39,8,13.69
59,Handmade Radiatori,"Radiator-shaped pasta with ridges, made with traditional techniques, offering a perfect texture for holding onto thick, hearty sauces.",58,11,16.34
60,Apricot Balsamic Vinegar,"Aged balsamic vinegar infused with sweet apricots, offering a tangy, fruity flavor perfect for dressings, marinades, and desserts.",62,12,25.45
61,English Cheddar Cheese,"Aged to perfection, this sharp cheddar offers a bold, tangy flavor and a crumbly texture, perfect for cheese boards or melting into dishes.",5,1,32.6
62,White Chocolate Pistachio Bark,"A delightful combination of creamy white chocolate and crunchy pistachios, offering a sweet and nutty treat for any occasion.",9,2,14.23
63,Cardamom Pods,"Aromatic green pods with a sweet, floral flavor, perfect for enhancing curries, baked goods, and spiced beverages.",15,3,3.51
64,Sesame Oil Spray,"A convenient spray made from pure sesame oil, offering a rich, nutty flavor that enhances stir-fries, dressings, and marinades.",16,4,27.01
65,Zinfandel Red Wine,"A bold, fruity red wine with flavors of blackberry, cherry, and spice, perfect for pairing with grilled meats and hearty dishes.",25,5,56.45
66,Italian Bresaola,"Air-dried, salted beef with a delicate, savory flavor, perfect for charcuterie boards, salads, or antipasti.",31,6,30.85
67,Truffle Infused Hummus,"A gourmet blend of creamy hummus and black truffle, offering an earthy, umami flavor that elevates snacks and appetizers.",34,7,68.61
68,Organic Peppermint Chamomile Tea,"A calming blend of organic peppermint and chamomile, offering a refreshing, soothing flavor perfect for relaxation and unwinding.",43,8,11.42
69,Handmade Trofie,"Twisted, short pasta made with traditional techniques, offering a perfect texture for holding onto pesto or creamy sauces.",57,11,22.85
70,Black Currant Balsamic Vinegar,"Aged balsamic vinegar infused with sweet black currants, offering a tangy, fruity flavor perfect for dressings, marinades, and desserts.",64,12,29.88
71,French Brie Cheese,"A soft, creamy cheese with a bloomy rind, offering a mild, buttery flavor that?s perfect for cheese boards or baked dishes.",4,1,22.27
72,Dark Chocolate Almond Bark,"Rich dark chocolate studded with crunchy almonds, offering a perfect balance of sweetness and nuttiness.",8,2,6.46
73,Coriander Seeds,"Aromatic seeds with a citrusy, slightly sweet flavor, perfect for enhancing curries, pickles, and spice blends.",15,3,8.53
74,Pumpkin Seed Oil Spray,"A convenient spray made from pure pumpkin seed oil, offering a rich, nutty flavor that enhances salads, soups, and roasted vegetables.",22,4,12.97
75,Pinot Grigio White Wine,"A crisp, refreshing white wine with flavors of green apple, pear, and citrus, perfect for pairing with seafood and light dishes.",23,5,221.13
76,Spanish Fuet Sausage,"A thin, dry-cured sausage with a mild, savory flavor, perfect for charcuterie boards, tapas, or as a standalone snack.",32,6,35.92
77,Truffle Infused Butter,"A luxurious blend of creamy butter and black truffle, offering an earthy, umami flavor that enhances steaks, pastas, and bread.",36,7,67.29
78,Organic Lemongrass Tea,"A refreshing, caffeine-free tea made from organic lemongrass, offering a citrusy, herbal flavor that soothes and invigorates.",40,8,13.51
79,Handmade Strozzapreti,"Hand-rolled, twisted pasta made with traditional techniques, offering a perfect texture for holding onto rich, hearty sauces.",55,11,8
80,Raspberry Balsamic Glaze,"A thick, sweet, and tangy glaze made from aged balsamic vinegar and raspberries, perfect for drizzling over salads, cheeses, and desserts.",65,12,14.23
81,Dutch Edam Cheese,"A semi-hard cheese with a mild, nutty flavor and a smooth texture, perfect for cheese boards, sandwiches, or melting.",1,1,40.48
82,Milk Chocolate Toffee Crunch,"A delightful combination of creamy milk chocolate and crunchy toffee, offering a sweet and indulgent treat for any occasion.",8,2,9.52
83,Mustard Seeds,"Tiny, pungent seeds with a sharp, tangy flavor, perfect for pickling, seasoning, or making homemade mustard.",15,3,13.89
84,Hazelnut Oil Spray,"A convenient spray made from pure hazelnut oil, offering a rich, nutty flavor that enhances salads, desserts, and roasted vegetables.",22,4,8.11
85,Chardonnay White Wine,"A versatile white wine with flavors of apple, pear, and vanilla, perfect for pairing with poultry, seafood, or creamy pasta dishes.",27,5,36.4
86,French Saucisson Sec,"A dry-cured sausage with a rich, savory flavor, perfect for charcuterie boards, sandwiches, or as a standalone snack.",30,6,19.56
87,Handmade Gemelli,"Twisted, double-strand pasta made with traditional techniques, offering a unique texture that pairs perfectly with chunky sauces or baked dishes.",56,11,18.2
88,Peach Balsamic Vinegar,"Aged balsamic vinegar infused with sweet peaches, offering a tangy, fruity flavor perfect for dressings, marinades, and desserts.",66,12,18.84
89,Truffle Infused Salted Caramels,"A luxurious blend of creamy salted caramel and earthy truffle, offering a sweet and savory treat that delights the palate.",37,7,117.53
90,Organic Moroccan Mint Tea,"A refreshing blend of organic green tea and fresh mint leaves, offering a bright, invigorating flavor that?s perfect any time of day.",40,8,7.8
91,Handmade Pappardelle,"Wide, ribbon-like pasta made with premium durum wheat, offering a perfect texture for hearty sauces like rag? or mushroom cream.",55,11,21.13
92,Aged Apple Cider Vinegar,"Aged to perfection, this apple cider vinegar offers a tangy, slightly sweet flavor, perfect for dressings, marinades, and health tonics.",65,12,20.08
93,Danish Havarti Cheese,"A semi-soft cheese with a buttery texture and mild, tangy flavor, perfect for sandwiches, cheese boards, or melting into dishes.",5,1,33.49
94,Dark Chocolate Chili Bars,"Rich dark chocolate bars infused with a hint of chili, offering a perfect balance of sweetness and a subtle, spicy kick.",7,2,18.11
95,Smoked Cumin Seeds,"Cumin seeds slow-smoked over wood fires, offering a deep, smoky flavor that enhances curries, stews, and grilled meats.",15,3,10.06
96,Cold-Pressed Flaxseed Oil,"A nutrient-rich oil made from cold-pressed flaxseeds, offering a nutty flavor and high omega-3 content, perfect for dressings and dips.",17,4,20.7
97,Rioja Red Wine,"A renowned Spanish red wine with flavors of red berries, vanilla, and oak, perfect for pairing with roasted meats and tapas.",26,5,204.6
98,Italian Pancetta,"A flavorful, cured pork belly with a rich, savory taste, perfect for adding depth to pasta dishes, salads, or antipasti.",29,6,19.38
99,Truffle Infused Mayonnaise,"A gourmet blend of creamy mayonnaise and black truffle, offering an earthy, umami flavor that elevates sandwiches, fries, and dips.",37,7,101.16
100,Organic Chrysanthemum Tea,"A delicate, caffeine-free tea made from organic chrysanthemum flowers, offering a floral, slightly sweet flavor and calming properties.",41,8,12.99
101,Handmade Bucatini,"Hollow, spaghetti-like pasta made with traditional techniques, offering a perfect texture for holding onto rich, hearty sauces.",56,11,10.58
102,Pear Balsamic Vinegar,"Aged balsamic vinegar infused with sweet pears, offering a tangy, fruity flavor perfect for dressings, marinades, and desserts.",64,12,24.17
103,Swiss Gruy?re Cheese,"A firm, creamy cheese with a nutty, slightly sweet flavor, perfect for fondue, gratins, or cheese boards.",2,1,23.52
104,Milk Chocolate Pecan Clusters,"A delightful combination of creamy milk chocolate and crunchy pecans, offering a perfect balance of sweetness and nuttiness.",9,2,17.14
105,Fenugreek Seeds,"Aromatic seeds with a slightly sweet, nutty flavor, perfect for enhancing curries, pickles, and spice blends.",15,3,5.88
106,Avocado Oil Spray,"A convenient spray made from pure avocado oil, offering a high smoke point and a rich, buttery flavor, perfect for cooking and baking.",19,4,20.48
107,Malbec Red Wine,"A bold, full-bodied red wine with flavors of blackberry, plum, and hints of cocoa, perfect for pairing with grilled meats and hearty dishes.",26,5,62.74
108,French Duck Prosciutto,"A delicately cured duck breast with a rich, savory flavor, perfect for charcuterie boards, salads, or as a standalone snack.",28,6,16.44
109,Truffle Infused Popcorn,"Gourmet popcorn seasoned with truffle oil, offering an earthy, umami flavor that elevates your snacking experience.",35,7,55.38
110,Organic Rooibos Chai Tea,"A caffeine-free blend of rooibos tea and chai spices, offering a warm, spicy flavor that?s perfect for relaxation and unwinding.",42,8,10.18
111,Handmade Campanelle,"Bell-shaped pasta with ruffled edges, made with traditional techniques, offering a perfect texture for holding onto creamy or chunky sauces.",55,11,22.82
112,Plum Balsamic Vinegar,"Aged balsamic vinegar infused with sweet plums, offering a tangy, fruity flavor perfect for dressings, marinades, and desserts.",64,12,17.69
113,Italian Taleggio Cheese,"A soft, creamy cheese with a mild, tangy flavor and a pungent aroma, perfect for cheese boards or melting into risottos.",2,1,26.57
114,Dark Chocolate Mint Truffles,"Rich dark chocolate truffles infused with refreshing mint, offering a cool and indulgent treat for chocolate lovers.",9,2,15.9
115,Star Anise Pods,"Aromatic star-shaped pods with a sweet, licorice-like flavor, perfect for enhancing soups, stews, and baked goods.",10,3,6.94
116,Walnut Oil Spray,"A convenient spray made from pure walnut oil, offering a rich, nutty flavor that enhances salads, pastas, and baked goods.",18,4,10.22
117,Shiraz Red Wine,"A bold, full-bodied red wine with flavors of dark berries, pepper, and spice, perfect for pairing with grilled meats and hearty dishes.",26,5,39.02
118,Cabernet Sauvignon,"A full-bodied red wine with rich flavors of blackcurrant, plum, and hints of oak, perfect for pairing with red meats and hearty dishes.",24,5,246.82
119,German Black Forest Ham,"A delicately smoked and cured ham with a rich, savory flavor, perfect for sandwiches, charcuterie boards, or as a standalone snack.",30,6,15.1
120,Truffle Oil Popcorn,"Gourmet popcorn drizzled with luxurious truffle oil, offering an earthy, umami flavor that elevates your snacking experience.",36,7,130.12
121,Organic Hibiscus Tea,"A vibrant, caffeine-free tea made from dried hibiscus flowers, offering a tart, cranberry-like flavor and numerous health benefits.",40,8,10.64
122,Handmade Rigatoni,"Tube-shaped pasta with ridges, made with traditional techniques, offering a perfect texture for holding onto thick, hearty sauces.",61,11,6.83
123,Blackberry Balsamic Vinegar,"Aged balsamic vinegar infused with sweet blackberries, offering a tangy, fruity flavor perfect for dressings, marinades, and desserts.",66,12,15.87
124,French Roquefort Cheese,"A bold and creamy blue cheese with distinctive veins of mold, offering a sharp, tangy flavor that pairs perfectly with wines and fruits.",1,1,37.98
125,Dark Chocolate Coconut Bars,"Rich dark chocolate bars filled with shredded coconut, offering a perfect blend of sweetness and tropical flavor.",9,2,18.74
126,Za'atar Spice Mix,"A Middle Eastern blend of thyme, sesame seeds, and sumac, offering a tangy, nutty flavor perfect for seasoning breads, meats, and dips.",15,3,14.86
127,Sesame Oil,"A rich, nutty oil made from toasted sesame seeds, perfect for adding depth to stir-fries, dressings, and marinades.",16,4,15.03
128,Chianti Red Wine,"A classic Italian red wine with flavors of cherry, plum, and earthy undertones, perfect for pairing with pasta and grilled meats.",27,5,127.13
129,Hungarian Salami,"A spicy, smoky salami with a rich, bold flavor, perfect for charcuterie boards, sandwiches, or as a standalone snack.",29,6,12.24
130,Truffle Salt Popcorn,"Gourmet popcorn seasoned with truffle salt, offering a savory, umami flavor that elevates your snacking experience.",33,7,32.42
131,Organic Green Rooibos Tea,"A caffeine-free herbal tea made from unfermented rooibos leaves, offering a light, refreshing flavor with numerous health benefits.",39,8,11.86
132,Handmade Orzo,"Rice-shaped pasta made with traditional techniques, offering a versatile texture perfect for soups, salads, and casseroles.",59,11,22.14
133,Blueberry Balsamic Vinegar,"Aged balsamic vinegar infused with sweet blueberries, offering a tangy, fruity flavor perfect for dressings, marinades, and desserts.",62,12,12.96
134,Italian Pecorino Cheese,"A hard, salty cheese made from sheep's milk, offering a sharp, tangy flavor perfect for grating over pasta or salads.",3,1,18.79
135,Milk Chocolate Almond Clusters,"A delightful combination of creamy milk chocolate and crunchy almonds, offering a perfect balance of sweetness and nuttiness.",9,2,12.77
136,Ras el Hanout Spice Blend,"A complex North African spice blend featuring cinnamon, cumin, and coriander, offering a warm, aromatic flavor perfect for tagines and stews.",15,3,11.9
137,Pumpkin Seed Oil,"A rich, nutty oil made from roasted pumpkin seeds, perfect for drizzling over salads, soups, or roasted vegetables.",17,4,9.55
138,Merlot Red Wine,"A smooth, medium-bodied red wine with flavors of black cherry, plum, and hints of chocolate, perfect for pairing with a variety of dishes.",26,5,200.4
139,French Saucisson Sec,"A dry-cured sausage with a rich, savory flavor, perfect for charcuterie boards, sandwiches, or as a standalone snack.",30,6,25.84
140,Truffle Infused Salt,"A gourmet blend of sea salt and finely ground truffles, offering an earthy, umami flavor perfect for seasoning meats, fries, and popcorn.",34,7,100.81
141,Organic Lemon Ginger Tea,"A refreshing blend of organic lemon and ginger, offering a zesty, spicy flavor that soothes the senses and aids digestion.",38,8,10.34
142,Handmade Cavatappi,"Corkscrew-shaped pasta made with traditional techniques, offering a perfect texture for holding onto thick, hearty sauces.",58,11,7.02
143,Cherry Balsamic Vinegar,"Aged balsamic vinegar infused with sweet cherries, offering a tangy, fruity flavor perfect for dressings, marinades, and desserts.",64,12,15.45
144,Greek Kefalotyri Cheese,"A hard, salty cheese made from sheep's or goat's milk, offering a sharp, tangy flavor perfect for grating over pasta or salads.",3,1,41.22
145,Dark Chocolate Hazelnut Bars,"Rich dark chocolate bars filled with crunchy hazelnuts, offering a perfect blend of sweetness and nuttiness.",8,2,17.27
146,Berbere Spice Blend,"A fiery Ethiopian spice blend featuring chili peppers, garlic, and ginger, offering a bold, complex flavor perfect for stews and marinades.",10,3,8.96
147,Hazelnut Oil,"A rich, nutty oil made from roasted hazelnuts, perfect for drizzling over salads, desserts, or roasted vegetables.",19,4,27.58
148,Sauvignon Blanc,"A crisp, refreshing white wine with flavors of green apple, citrus, and herbal notes, perfect for pairing with seafood and salads.",25,5,101.54
149,Spanish Jamõn Ib?rico,"A premium dry-cured ham from acorn-fed Iberian pigs, offering a rich, nutty flavor and a melt-in-your-mouth texture.",31,6,35.29
150,Truffle Infused Olive Oil,"A luxurious blend of extra virgin olive oil and black truffle, offering an earthy, umami flavor perfect for enhancing gourmet dishes.",36,7,66.11
151,Organic Chamomile Lavender Tea,"A calming blend of organic chamomile and lavender, offering a floral, soothing flavor perfect for relaxation and unwinding.",38,8,6.17
152,Dark Chocolate Espresso Beans,"A perfect blend of rich dark chocolate and roasted espresso beans, offering a crunchy, caffeinated treat for chocolate and coffee lovers alike.",44,9,9.78
153,Smoked Garlic Powder,"Garlic powder slow-smoked over wood fires, offering a deep, smoky flavor that enhances marinades, rubs, and savory dishes.",10,3,14.02
154,Extra Virgin Olive Oil,"Cold-pressed from the finest olives, this extra virgin olive oil offers a fruity aroma and a robust flavor, perfect for dressings, dips, and cooking.",21,4,14.29
155,Barolo Red Wine,"A prestigious Italian red wine known as the 'King of Wines,' offering complex flavors of red fruit, tar, and roses, perfect for special occasions.",24,5,205.99
156,Prosciutto di Parma,"Aged for over 24 months, this Italian dry-cured ham offers a delicate, sweet flavor and a buttery texture, perfect for charcuterie boards or antipasti.",29,6,34.12
157,White Truffle Püt?,"A luxurious blend of finely ground white truffles and creamy püt?, offering an earthy, umami flavor that elevates toast, crackers, and appetizers.",35,7,39.42
158,Organic White Tea,"Made from young tea leaves and buds, this organic white tea offers a delicate, floral flavor and a light, refreshing brew.",43,8,13.16
159,Handmade Conchiglie,"Shell-shaped pasta made with traditional techniques, offering a perfect texture for holding onto chunky sauces or baked dishes.",57,11,7.38
160,Raspberry Balsamic Vinegar,"A sweet and tangy balsamic vinegar infused with ripe raspberries, perfect for drizzling over salads, desserts, or cheeses.",66,12,10.47
161,Dutch Gouda Cheese,"Aged to perfection, this Dutch cheese offers a creamy texture and a nutty, caramel-like flavor, perfect for cheese boards or melting.",4,1,49.14
162,Milk Chocolate Sea Salt Caramels,"A decadent combination of creamy milk chocolate, gooey caramel, and a touch of sea salt, offering a perfect balance of sweet and salty.",8,2,19.14
163,Chipotle Chili Flakes,"Dried and crushed smoked jalape?o peppers, offering a smoky heat that enhances soups, stews, and grilled meats.",11,3,7.34
164,Cold-Pressed Avocado Oil,"Extracted from ripe avocados, this oil offers a rich, buttery flavor and a high smoke point, perfect for cooking, dressings, and dips.",21,4,9.3
165,Champagne Brut,"A classic dry champagne with crisp acidity and notes of green apple and citrus, perfect for celebrations or pairing with seafood.",24,5,227.91
166,Spanish Chorizo,"A spicy, smoky sausage made with paprika and garlic, offering a bold flavor that enhances tapas, stews, and charcuterie boards.",32,6,33.66
167,Black Truffle Mustard,"A gourmet blend of Dijon mustard and black truffle, offering an earthy, tangy flavor that elevates sandwiches, meats, and dressings.",35,7,112.86
168,Organic Oolong Tea,"A semi-oxidized tea with a complex flavor profile, offering floral and fruity notes that make it a refreshing and aromatic brew.",43,8,12.78
169,Handmade Lasagna Sheets,"Thin, delicate sheets of pasta made with premium ingredients, offering a perfect texture for layering in traditional lasagna dishes.",56,11,13.45
170,Fig Balsamic Vinegar,"Aged balsamic vinegar infused with sweet figs, offering a rich, fruity flavor perfect for drizzling over salads, cheeses, or desserts.",65,12,15.41
171,Swiss Emmental Cheese,"A classic Swiss cheese with a nutty, slightly sweet flavor and distinctive holes, perfect for fondue or sandwiches.",5,1,34.44
172,Dark Chocolate Raspberry Bars,"Rich dark chocolate bars filled with tangy raspberry pieces, offering a harmonious blend of sweet and tart flavors.",7,2,10.4
173,Sumac Spice,"A tangy, lemony spice made from ground sumac berries, perfect for seasoning salads, meats, and Middle Eastern dishes.",13,3,9.66
174,Walnut Oil,"Cold-pressed from premium walnuts, this oil offers a rich, nutty flavor that enhances salads, pastas, and baked goods.",18,4,26.58
175,Pinot Noir,"A light-bodied red wine with notes of cherry, raspberry, and earthy undertones, perfect for pairing with poultry or light pasta dishes.",25,5,220.76
176,Italian Salami,"A flavorful, dry-cured sausage made with traditional Italian spices, offering a bold taste that?s perfect for charcuterie boards or sandwiches.",29,6,17.89
177,Truffle Butter,"A luxurious blend of creamy butter and black truffle, offering an earthy, umami flavor that enhances steaks, pastas, and bread.",37,7,98.1
178,Organic Pu-erh Tea,"A fermented tea with a deep, earthy flavor and numerous health benefits, offering a rich and soothing brew.",42,8,14.83
179,Handmade Farfalle,"Bow-tie shaped pasta made with traditional techniques, offering a delightful texture that pairs well with light cream sauces or pesto.",56,11,21.61
180,Pomegranate Balsamic Vinegar,"Aged balsamic vinegar infused with sweet pomegranate, offering a tangy, fruity flavor perfect for dressings, marinades, and desserts.",63,12,14.08
181,English Stilton Cheese,"A classic blue cheese with a creamy texture and a sharp, tangy flavor, perfect for cheese boards or pairing with port wine.",1,1,28.81
182,White Chocolate Macadamia Clusters,"A delightful combination of creamy white chocolate and crunchy macadamia nuts, offering a sweet and indulgent treat.",6,2,9.06
183,Harissa Spice Blend,"A fiery North African blend of chili peppers, garlic, and spices, offering a bold, smoky heat that enhances stews, marinades, and dips.",10,3,12.32
184,Grapeseed Oil,"A light, neutral oil with a high smoke point, perfect for frying, saut?ing, or adding to dressings and marinades.",18,4,21.22
185,Handcrafted Pappardelle,"Wide, ribbon-like pasta made with premium durum wheat, offering a perfect texture for hearty sauces like rag? or mushroom cream.",56,11,21.9
186,Black Truffle Salt,"A gourmet blend of sea salt and finely ground black truffles, adding an earthy, umami flavor to meats, fries, and popcorn.",33,7,125.39
187,Smoked Black Pepper,"Black peppercorns slow-smoked over wood fires, offering a rich, smoky aroma and flavor that enhances grilled meats and savory dishes.",13,3,9.65
188,Artisan Gouda Cheese,"Aged to perfection, this semi-hard cheese boasts a creamy texture and a nutty, caramel-like flavor, perfect for cheese boards or melting.",2,1,41.41
189,White Chocolate Raspberry Truffles,"Decadent truffles made with creamy white chocolate and a tangy raspberry filling, offering a perfect balance of sweetness and fruitiness.",9,2,9.29
190,Exotic Garam Masala,"A fragrant blend of ground spices, including cardamom, cinnamon, and cloves, offering a warm and complex flavor to Indian and Middle Eastern dishes.",13,3,12.11
191,Organic Jasmine Pearl Tea,"Hand-rolled organic green tea leaves infused with jasmine flowers, offering a delicate floral aroma and a soothing, refreshing taste.",41,8,6.84
192,Handmade Farfalle,"Bow-tie shaped pasta made with traditional techniques, offering a delightful texture that pairs well with light cream sauces or pesto.",56,11,8.72
193,Balsamic Reduction,"A thick, sweet, and tangy glaze made from aged balsamic vinegar, perfect for drizzling over salads, cheeses, and desserts.",62,12,20.21
194,French Sel Gris,"A moist, mineral-rich grey sea salt harvested from the Atlantic coast, offering a balanced flavor ideal for seasoning and finishing dishes.",12,3,8.85
